accession,taxid,superkingdom,phylum,class,order,family,genus,species,strain
KX799747,32630,,,,,,,synthetic construct,
KX800417,32630,,,,,,,synthetic construct,
CP016404,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,
XM_018217268,149040,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,,Phialocephala,Phialocephala scopiformis,
CP017147,1526658,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Bosea vaviloviae,
XM_018271224,342668,Eukaryota,Ascomycota,Leotiomycetes,,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus verrucosus,
XM_018273152,342668,Eukaryota,Ascomycota,Leotiomycetes,,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus verrucosus,
XM_018273298,342668,Eukaryota,Ascomycota,Leotiomycetes,,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus verrucosus,
XM_018274081,342668,Eukaryota,Ascomycota,Leotiomycetes,,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus verrucosus,
XM_018276242,342668,Eukaryota,Ascomycota,Leotiomycetes,,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus verrucosus,
XM_018278888,342668,Eukaryota,Ascomycota,Leotiomycetes,,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus verrucosus,
XM_018279838,342668,Eukaryota,Ascomycota,Leotiomycetes,,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus verrucosus,
XM_018280082,342668,Eukaryota,Ascomycota,Leotiomycetes,,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus verrucosus,
XM_018297904,759273,Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum higginsianum,Colletotrichum higginsianum IMI 349063
XM_018298750,759273,Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum higginsianum,Colletotrichum higginsianum IMI 349063
XM_018301976,759273,Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum higginsianum,Colletotrichum higginsianum IMI 349063
XM_018281111,1380566,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia,Pochonia chlamydosporia,Pochonia chlamydosporia 170
XM_018281719,1380566,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia,Pochonia chlamydosporia,Pochonia chlamydosporia 170
XM_018317853,33203,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium lilacinum,
XM_018318262,33203,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium lilacinum,
XM_018319658,33203,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium lilacinum,
XM_018320028,33203,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium lilacinum,
XM_018320612,33203,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium lilacinum,
XM_018332134,1328760,Eukaryota,Ascomycota,Xylonomycetes,Xylonomycetales,Xylonomycetaceae,Xylona,Xylona heveae,Xylona heveae TC161
XM_018330926,1328760,Eukaryota,Ascomycota,Xylonomycetes,Xylonomycetales,Xylonomycetaceae,Xylona,Xylona heveae,Xylona heveae TC161
CP016442,95485,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia stabilis,
CP017075,158500,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium resinovorum,
CP017076,158500,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium resinovorum,
XM_018480926,224129,Eukaryota,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus planipennis,
XM_018480927,224129,Eukaryota,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus planipennis,
XM_018480928,224129,Eukaryota,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus planipennis,
XM_018480929,224129,Eukaryota,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus planipennis,
XM_018480930,224129,Eukaryota,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus planipennis,
XM_018356884,460523,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Ogataea,Ogataea polymorpha,
XM_018365704,1080349,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces eubayanus,
XM_018404139,1296121,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella dejecticola,Kwoniella dejecticola CBS 10117
XM_018412733,578459,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula graminis,Rhodotorula graminis WP1
XM_018414196,578459,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula graminis,Rhodotorula graminis WP1
XM_018416651,578459,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula graminis,Rhodotorula graminis WP1
XM_018413343,578459,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula graminis,Rhodotorula graminis WP1
XM_018414983,578459,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula graminis,Rhodotorula graminis WP1
XM_018390869,426428,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum f. sp. lycopersici
XM_018390870,426428,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum f. sp. lycopersici
XM_018390871,426428,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum f. sp. lycopersici
XM_018376517,426428,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum f. sp. lycopersici
XM_018376518,426428,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum f. sp. lycopersici
XM_018382079,426428,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum f. sp. lycopersici
XM_018382080,426428,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum f. sp. lycopersici
XM_018382081,426428,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum f. sp. lycopersici
XM_018380272,426428,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,Fusarium oxysporum f. sp. lycopersici
CP012745,72407,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP013670,64187,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,Xanthomonas oryzae pv. oryzae
CP013961,64187,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,Xanthomonas oryzae pv. oryzae
CP013674,64187,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,Xanthomonas oryzae pv. oryzae
CP013675,64187,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,Xanthomonas oryzae pv. oryzae
CP013676,64187,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,Xanthomonas oryzae pv. oryzae
CP013677,64187,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,Xanthomonas oryzae pv. oryzae
CP013678,64187,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,Xanthomonas oryzae pv. oryzae
CP013679,64187,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,Xanthomonas oryzae pv. oryzae
CP016094,1838286,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Lacunisphaera,Lacunisphaera limnophila,
XM_018524047,5599,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,
XM_018531185,5599,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,
XM_018524315,5599,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,
XM_018535545,5599,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,
XM_018534612,5599,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,
XM_018526763,5599,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,
XM_018525639,5599,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,
XM_018531944,5599,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,
CP017311,795665,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. PBC,
CP014143,1769779,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer,Microbulbifer aggregans,
LT599583,1295141,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas veronii,Pseudomonas veronii 1YdBTEX2
CP017353,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,
CP017279,299767,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter ludwigii,
CP017385,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
AP017655,120107,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium cloacae,
CP017433,72557,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter ruhlandii,
CP017415,160660,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,Acidihalobacter prosperus,
CP017420,180282,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia tsuruhatensis,
CP017450,1905288,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella sp. LTGPAF-6F,
CP017448,160660,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,Acidihalobacter prosperus,
AP014623,86192,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas chlororaphis,
KU854870,185366,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago esculenta,
CP017476,1763535,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga crassostreae,
CP017578,621456,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas melonis,Sphingomonas melonis TY
LT605586,1885919,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella sp. 141012304,
CP016212,1150601,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,Pseudomonas putida JB
LT629148,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
LT629151,10090,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
LT629154,10092,Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
XM_018749010,113540,Eukaryota,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,Scleropages formosus,
XM_018749011,113540,Eukaryota,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,Scleropages formosus,
XM_018749012,113540,Eukaryota,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,Scleropages formosus,
XM_018749013,113540,Eukaryota,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,Scleropages formosus,
CP015001,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,
CP015002,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,
CP015003,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,
LT629693,931866,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium ottawaense,
LT629703,1882747,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Afipia sp. GAS231,
LT629738,587753,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas chlororaphis,
LT629747,587753,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas chlororaphis,
LT629750,255045,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium canariense,
LT629751,1392877,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas oryzae,
LT629760,200450,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas trivialis,
LT629761,587753,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas chlororaphis,
LT629762,1148509,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas prosekii,
LT629763,472181,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sabulinigri,
LT629775,1855352,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. TLI_053,
LT629780,1245526,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas guangdongensis,
LT629797,1274359,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sihuiensis,
CP017483,1904944,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas sp. LM091,
XM_018805557,398673,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma gamsii,
XM_018806683,398673,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma gamsii,
XM_018807290,398673,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma gamsii,
LT629867,1798223,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia sp. 21MFCrub1.1,
XM_018841017,1367422,Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Fonsecaea,Fonsecaea erecta,
XM_018841525,1367422,Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Fonsecaea,Fonsecaea erecta,
CP017403,520,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella pertussis,
CP017402,520,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella pertussis,
XM_018845370,1081104,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Isaria,Isaria fumosorosea,Isaria fumosorosea ARSEF 2679
CP017404,520,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella pertussis,
CP017405,520,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella pertussis,
XM_018846928,1081104,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Isaria,Isaria fumosorosea,Isaria fumosorosea ARSEF 2679
XM_018847945,1081104,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Isaria,Isaria fumosorosea,Isaria fumosorosea ARSEF 2679
XM_018852743,1081104,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Isaria,Isaria fumosorosea,Isaria fumosorosea ARSEF 2679
XM_018855378,869754,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia bicuspidata,
XM_018853814,869754,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia bicuspidata,
XM_018882586,796027,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Sugiyamaella,Sugiyamaella lignohabitans,
XM_018879555,796027,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Sugiyamaella,Sugiyamaella lignohabitans,
XM_018880709,796027,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Sugiyamaella,Sugiyamaella lignohabitans,
CP017188,1401257,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas citri,Xanthomonas citri pv. glycines
CP017190,316273,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas euvesicatoria,Xanthomonas campestris pv. vesicatoria str. 85-10
CP017748,876364,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus sp. USMAA2-4,
CP017751,1389192,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus sp. USMAHM13,
CP017754,367825,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus sp. USMAA1020,
CP015054,4911,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces marxianus,
CP017640,1479019,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp. C1,
XM_018883722,1230383,Eukaryota,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sympodialis,Malassezia sympodialis ATCC 42132
XM_018898502,334819,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium verticillioides,Fusarium verticillioides 7600
XM_018888089,334819,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium verticillioides,Fusarium verticillioides 7600
XM_018888090,334819,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium verticillioides,Fusarium verticillioides 7600
XM_018889831,334819,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium verticillioides,Fusarium verticillioides 7600
XM_018888642,334819,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium verticillioides,Fusarium verticillioides 7600
CP017707,1108595,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Chromobacterium vaccinii,
CP012426,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP011839,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
LT629970,271420,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas xanthomarina,
CP017814,665079,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Sclerotinia sclerotiorum,Sclerotinia sclerotiorum 1980 UF-70
CP017821,665079,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Sclerotinia sclerotiorum,Sclerotinia sclerotiorum 1980 UF-70
CP017823,665079,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Sclerotinia sclerotiorum,Sclerotinia sclerotiorum 1980 UF-70
CP011319,1644131,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. 1_2014MBL_MicDiv,
CP017561,754502,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia sprentiae,Paraburkholderia sprentiae WSM5005
CP017562,754502,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia sprentiae,Paraburkholderia sprentiae WSM5005
LT558118,307758,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago bromivora,
LT558119,307758,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago bromivora,
LT558122,307758,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago bromivora,
LT558132,307758,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago bromivora,
LT558137,307758,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago bromivora,
LT558138,307758,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago bromivora,
CP017802,54291,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,Raoultella ornithinolytica,
CP017928,571,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca,
CP017934,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,
CP014999,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,
CP017969,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,
CP017964,380021,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas protegens,
XM_019140106,1295533,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus amylolentus,Cryptococcus amylolentus CBS 6039
XM_019140506,1295533,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus amylolentus,Cryptococcus amylolentus CBS 6039
XM_019140507,1295533,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus amylolentus,Cryptococcus amylolentus CBS 6039
XM_019140508,1295533,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus amylolentus,Cryptococcus amylolentus CBS 6039
XM_019142507,1295533,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus amylolentus,Cryptococcus amylolentus CBS 6039
XM_019145420,1296122,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella mangrovensis,Kwoniella mangroviensis CBS 8507
XM_019147920,1296122,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella mangrovensis,Kwoniella mangroviensis CBS 8507
XM_019152545,1296096,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella pini,Kwoniella pini CBS 10737
XM_019163742,763406,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia membranifaciens,Pichia membranifaciens NRRL Y-2026
XM_019171142,698492,Eukaryota,Ascomycota,,,,Saitoella,Saitoella complicata,Saitoella complicata NRRL Y-17804
XM_019165356,698492,Eukaryota,Ascomycota,,,,Saitoella,Saitoella complicata,Saitoella complicata NRRL Y-17804
XM_019174960,1295528,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Tsuchiyaea,Tsuchiyaea wingfieldii,Tsuchiyaea wingfieldii CBS 7118
XM_019172020,698492,Eukaryota,Ascomycota,,,,Saitoella,Saitoella complicata,Saitoella complicata NRRL Y-17804
XM_019169899,698492,Eukaryota,Ascomycota,,,,Saitoella,Saitoella complicata,Saitoella complicata NRRL Y-17804
XM_019176902,1295528,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Tsuchiyaea,Tsuchiyaea wingfieldii,Tsuchiyaea wingfieldii CBS 7118
XM_019178709,1295528,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Tsuchiyaea,Tsuchiyaea wingfieldii,Tsuchiyaea wingfieldii CBS 7118
CP017965,2014,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis dassonvillei,
XM_019189272,1296100,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella,Kwoniella bestiolae,Kwoniella bestiolae CBS 10118
